timestamp,head_direction,blink_flag
0.512,0,0
0.593,0,0
0.622,0,0
0.709,0,0
0.735,0,0
0.758,0,0
0.791,0,0
0.811,0,0
0.852,0,0
0.882,0,0
0.915,0,0
0.943,0,0
0.978,0,0
1.002,0,0
1.028,0,0
1.061,0,0
1.086,0,0
1.188,0,0
1.217,0,0
1.241,0,0
1.26,0,0
1.294,0,0
1.307,0,0
1.334,0,0
1.414,0,0
1.442,0,0
1.458,0,0
1.48,0,0
1.524,0,0
1.559,0,0
1.647,0,0
1.685,0,0
1.719,0,0
1.748,0,0
1.869,0,0
1.892,0,0
1.931,0,0
1.958,0,0
1.978,0,0
1.999,0,0
2.031,0,0
2.072,0,0
2.1,0,0
2.13,0,0
2.149,0,0
2.182,0,0
2.252,0,0
2.275,0,0
2.295,0,0
2.331,0,0
2.361,0,0
2.378,0,0
2.416,0,0
2.45,0,0
2.48,0,0
2.497,0,0
2.585,0,0
2.621,0,0
2.655,0,0
2.685,0,0
2.715,0,0
2.741,0,0
2.76,0,0
2.843,0,0
2.863,0,0
2.93,0,0
2.951,0,0
2.999,0,0
3.034,0,0
3.067,0,0
3.098,0,0
3.134,0,0
3.161,0,0
3.199,0,0
3.233,0,0
3.274,0,0
3.298,0,0
3.34,0,0
3.393,0,0
3.426,0,0
3.465,0,0
3.502,0,0
3.536,0,0
3.565,0,0
3.591,0,0
3.629,0,0
3.651,0,0
3.687,0,0
3.71,0,0
3.744,0,0
3.787,0,0
3.808,0,0
3.847,0,0
3.914,0,0
3.949,0,0
3.987,0,0
4.01,0,0
4.04,0,0
4.064,0,0
4.092,0,0
4.127,0,0
4.155,0,0
4.182,0,0
4.207,0,0
4.237,0,0
4.265,0,0
4.297,0,0
4.325,0,0
4.346,0,0
4.409,-1,0
4.455,-1,0
4.475,0,0
4.513,-1,1
4.551,-1,0
4.583,-1,0
4.609,-1,0
4.634,0,0
4.668,-1,0
4.706,0,1
4.734,0,0
4.772,0,0
4.808,0,0
4.843,0,0
4.869,0,0
4.891,0,0
4.928,0,0
4.959,0,0
4.993,0,0
5.013,0,0
5.065,0,0
5.096,0,0
5.123,0,0
5.151,0,0
5.205,-1,1
5.237,0,0
5.268,0,0
5.291,0,0
5.33,0,0
5.348,0,0
5.4,0,0
5.432,0,0
5.462,0,0
5.487,0,0
5.521,0,0
5.555,0,0
5.61,0,0
5.648,0,0
5.683,0,0
5.709,0,0
5.743,0,0
5.762,0,0
5.803,0,0
5.841,0,0
5.875,0,0
5.906,0,0
6.008,0,0
6.031,0,0
6.055,0,0
6.081,0,0
6.121,0,0
6.147,0,0
6.176,0,0
6.211,0,0
6.246,0,0
6.28,0,0
6.313,0,0
6.346,0,0
6.382,0,0
6.41,0,0
6.443,0,0
6.47,0,0
6.523,0,0
6.561,0,0
6.576,0,0
6.597,0,0
6.626,0,0
6.665,0,0
6.696,0,0
6.735,0,0
6.761,0,0
6.836,0,0
6.858,0,0
6.889,0,0
6.922,0,0
6.953,0,0
6.972,0,0
6.991,0,0
7.008,0,0
7.025,0,0
7.041,0,0
7.077,0,1
7.096,0,0
7.139,0,0
7.21,0,0
7.244,0,0
7.268,0,0
7.287,0,0
7.332,0,0
7.359,0,0
7.411,0,0
7.481,0,0
7.514,0,0
7.543,0,0
7.566,0,0
7.598,0,0
7.62,0,0
7.637,0,0
7.666,0,1
7.685,0,0
7.733,0,0
7.748,0,0
7.77,0,0
7.809,0,0
7.836,0,0
7.874,0,0
7.891,0,0
7.939,0,0
8.015,0,0
8.041,0,0
8.076,0,0
8.119,0,0
8.153,0,0
8.186,0,0
8.273,0,0
8.301,0,1
8.341,0,0
8.408,0,0
8.435,0,0
8.468,0,0
8.486,0,0
8.496,0,0
8.546,0,0
8.564,0,0
8.608,0,0
8.637,0,0
8.676,0,0
8.7,0,0
8.742,0,0
8.8,0,1
8.841,0,0
8.855,99,0
8.884,0,0
8.918,0,0
8.936,99,0
8.956,99,0
9.019,0,0
9.035,0,0
9.076,0,1
9.113,0,0
9.14,0,0
9.204,0,0
9.23,0,0
9.275,0,0
9.306,0,0
9.335,0,0
9.359,0,0
9.385,0,0
9.477,0,0
9.499,0,0
9.529,0,1
9.564,0,0
9.592,0,0
9.614,99,0
9.641,0,0
9.669,0,0
9.677,99,0
9.693,99,0
9.738,99,0
9.752,99,0
9.817,0,0
9.841,0,0
9.876,0,0
9.891,0,0
9.931,99,0
10.01,0,0
10.041,0,0
10.08,0,0
10.113,0,0
10.141,0,0
10.176,0,0
10.213,0,0
10.241,0,0
10.273,0,0
10.304,0,0
10.338,0,0
10.361,0,0
10.419,0,0
10.452,0,0
10.487,0,0
10.526,0,0
10.549,0,0
10.585,0,0
10.615,0,0
10.65,0,0
10.684,0,0
10.728,0,0
10.768,0,0
10.794,0,0
10.828,0,0
10.862,0,0
10.898,0,0
10.925,0,0
10.965,0,0
10.997,0,0
11.046,0,0
11.07,0,0
11.113,0,0
11.194,0,0
11.225,0,0
11.245,99,0
11.292,0,0
11.309,0,0
11.348,0,0
11.374,0,0
11.414,0,0
11.436,0,0
11.479,0,0
11.521,0,0
11.568,0,0
11.594,0,0
11.621,0,0
11.653,0,0
11.684,0,0
11.706,0,0
11.742,0,0
11.769,0,0
11.808,0,0
11.841,0,0
11.876,0,0
11.9,0,0
11.95,0,0
11.975,0,0
12.019,0,0
12.037,0,0
12.084,0,0
12.122,0,0
12.155,0,0
12.188,0,0
12.223,0,0
12.251,0,0
12.285,0,0
12.321,0,0
12.345,0,0
12.375,0,0
12.429,0,1
12.463,0,0
12.491,0,0
12.527,0,0
12.561,0,0
12.58,0,0
12.618,0,0
12.644,0,0
12.692,0,0
12.706,0,0
12.768,0,0
12.794,0,0
12.903,0,0
12.925,0,0
12.963,0,0
13.026,0,0
13.048,0,0
13.108,0,0
13.134,0,0
13.16,0,0
13.183,0,0
13.224,0,0
13.242,0,0
13.277,0,0
13.3,0,0
13.349,0,0
13.368,0,1
13.412,0,0
13.428,99,0
13.485,99,0
13.497,99,0
13.562,0,0
13.585,0,0
13.619,0,0
13.636,0,0
13.676,99,0
13.689,99,0
13.743,0,0
13.784,0,0
13.835,0,1
13.861,0,0
13.891,0,0
13.923,0,0
13.955,0,0
13.972,0,0
14.018,0,0
14.035,0,0
14.084,0,0
14.123,0,0
14.15,0,0
14.188,0,0
14.24,0,0
14.294,0,0
14.308,0,0
14.334,0,0
14.347,0,0
14.375,0,0
14.421,0,0
14.448,0,0
14.484,0,0
14.508,0,0
14.56,0,0
14.59,0,0
14.631,0,0
14.647,0,0
14.697,0,0
14.719,0,0
14.752,0,0
14.786,0,0
14.82,0,0
14.851,0,0
14.885,0,0
14.934,0,0
14.979,0,0
15.018,0,0
15.051,0,0
15.118,0,0
15.149,0,0
15.176,0,0
15.21,0,0
15.246,0,0
15.28,0,0
15.318,0,0
15.346,0,0
15.382,0,0
15.428,0,0
15.463,0,0
15.497,0,0
15.532,0,0
15.547,0,0
15.57,0,0
15.599,0,0
15.645,0,0
15.677,0,0
15.709,0,0
15.747,0,0
15.777,0,0
15.819,0,0
15.841,0,0
15.879,0,0
15.948,0,0
15.968,0,1
16.027,0,0
16.049,0,0
16.104,0,0
16.127,0,0
16.165,0,0
16.191,0,0
16.227,0,0
16.263,0,0
16.294,0,0
16.329,0,0
16.362,0,0
16.399,0,0
16.431,0,1
16.455,0,0
16.535,0,0
16.597,0,0
16.646,0,0
16.704,0,0
16.748,0,0
16.791,0,0
16.832,0,0
16.869,0,0
16.905,0,0
16.941,0,0
16.977,0,0
17.048,0,0
17.11,0,0
17.152,0,0
17.18,0,0
17.225,0,0
17.262,0,0
17.299,0,0
17.349,0,0
17.392,0,0
17.426,0,0
17.461,0,0
17.502,0,0
17.537,0,0
17.569,0,0
17.655,0,0
17.699,0,0
17.754,0,0
17.815,0,0
17.868,0,1
17.925,1,0
17.968,1,0
18.02,1,0
18.035,99,0
18.049,99,0
18.068,99,0
18.165,99,0
18.186,99,0
18.211,99,0
18.246,99,0
18.279,99,0
18.297,99,0
18.376,99,0
18.44,99,0
18.468,99,0
18.505,99,0
18.535,99,0
18.567,99,0
18.595,99,0
18.633,99,0
18.657,99,0
18.713,99,0
18.734,99,0
18.754,99,0
18.777,99,0
18.838,99,0
18.871,99,0
18.937,0,0
18.991,0,0
19.034,0,1
19.092,0,0
19.161,0,0
19.211,0,0
19.265,0,0
19.318,0,0
19.375,0,0
19.418,0,0
19.485,0,1
19.548,0,0
19.605,0,0
19.674,0,0
19.728,0,0
19.785,0,0
19.835,0,0
19.882,0,1
19.921,0,0
19.962,0,0
20.001,0,0
20.035,0,0
20.077,0,0
20.12,0,1
20.163,0,0
20.212,0,0
20.276,0,0
20.327,0,0
20.367,0,0
20.425,0,1
20.48,0,0
20.519,0,0
20.569,0,0
20.613,0,0
20.66,0,0
20.71,0,1
20.761,0,0
20.809,0,0
20.851,0,0
20.93,0,0
20.985,0,0
21.032,0,1
21.078,0,0
21.142,0,0
21.211,0,0
21.261,0,0
21.311,0,0
21.371,0,0
21.429,0,0
21.487,0,0
21.535,0,0
21.58,0,0
21.609,0,0
21.662,0,0
21.702,0,0
21.741,0,1
21.782,0,0
21.82,0,0
21.853,0,0
21.897,0,0
21.935,0,0
21.985,0,1
22.028,0,0
22.068,0,0
22.15,0,0
22.201,0,0
22.242,0,0
22.276,0,1
22.322,0,0
22.36,0,0
22.422,0,0
22.463,99,0
22.485,99,0
22.551,0,0
22.591,0,0
22.639,0,1
22.691,0,0
22.739,0,0
22.771,99,0
22.884,0,0
22.926,0,0
22.968,0,0
22.986,99,0
23.037,99,0
23.051,99,0
23.103,99,0
23.118,99,0
23.169,99,0
23.182,99,0
23.248,99,0
23.26,99,0
23.344,0,0
23.397,0,1
23.436,0,0
23.495,0,0
23.544,0,0
23.599,0,0
23.671,0,0
23.772,0,1
23.823,0,0
23.875,0,0
23.944,0,0
24.001,0,0
24.05,0,0
24.107,0,1
24.164,0,0
24.22,0,0
24.283,0,0
24.326,0,0
24.382,0,0
24.426,0,1
24.462,0,0
24.515,0,0
24.566,0,0
24.62,0,0
24.662,0,0
24.703,0,1
24.757,0,0
24.811,0,0
24.869,0,0
24.915,0,0
24.984,0,0
25.034,0,1
25.091,0,0
25.149,0,0
25.21,0,0
25.268,0,0
25.321,0,0
25.376,0,1
25.429,0,0
25.482,0,0
25.531,0,0
25.571,0,0
25.608,0,0
25.676,0,1
25.718,0,0
25.769,0,0
25.8,0,0
25.844,0,0
25.879,0,0
25.929,0,1
25.98,0,0
26.026,0,0
26.081,0,0
26.129,0,0
26.184,0,0
26.22,0,1
26.255,0,0
26.291,0,0
26.339,0,0
26.377,0,0
26.41,0,0
26.471,0,1
26.512,0,0
26.591,0,0
26.64,0,0
26.692,0,0
26.741,0,0
26.788,0,1
26.834,0,0
26.876,0,0
26.934,0,0
26.985,0,0
27.027,0,0
27.085,0,1
27.119,0,0
27.168,0,0
27.22,0,0
27.267,0,0
27.307,0,0
27.356,0,1
27.426,0,0
27.485,0,0
27.526,0,0
27.575,0,0
27.626,0,0
27.676,0,1
27.718,0,0
27.768,0,0
27.826,0,0
27.875,0,0
27.953,0,0
28.01,0,1
28.066,0,0
28.122,0,0
28.178,0,0
28.235,0,0
28.292,0,0
28.342,0,1
28.397,0,0
28.434,0,0
28.47,0,0
28.505,0,0
28.549,0,0
28.586,0,1
28.621,0,0
28.661,0,0
28.713,0,0
28.746,0,0
28.811,0,0
28.865,0,1
28.904,0,0
28.968,0,0
29.069,0,0
29.085,99,0
29.12,99,0
29.136,99,0
29.184,99,0
29.2,99,0
29.262,99,0
29.276,99,0
29.328,99,0
29.341,99,0
29.391,99,0
29.405,99,0
29.505,0,0
29.554,0,0
29.603,0,1
29.658,0,0
29.707,0,0
29.753,0,0
29.805,0,0
29.845,0,0
29.901,0,1
29.942,0,0
29.994,0,0
30.044,0,0
30.1,0,0
30.139,0,0
30.191,0,1
30.234,0,0
30.276,0,0
30.322,0,0
30.335,99,0
30.392,99,0
30.405,99,0
30.491,0,0
30.558,0,0
30.617,0,1
30.668,0,0
30.725,0,0
30.777,0,0
30.828,0,0
30.878,0,0
30.918,0,1
30.973,0,0
31.022,0,0
31.071,0,0
31.116,0,0
31.155,0,0
31.179,99,0
31.193,99,0
31.207,99,0
31.219,99,0
31.272,99,0
31.294,99,0
31.326,99,0
31.354,99,0
31.391,99,0
31.421,99,0
31.452,99,0
31.472,99,0
31.487,99,0
31.541,99,0
31.635,0,1
31.644,99,0
31.71,0,0
31.755,0,0
31.773,99,0
31.791,99,0
31.804,99,0
31.832,99,0
31.893,0,0
31.934,0,0
31.969,0,0
32.01,99,0
32.048,0,1
32.08,0,0
32.122,0,0
32.181,0,0
32.23,0,0
32.265,0,0
32.295,0,0
32.344,0,0
32.377,0,0
32.427,0,0
32.477,0,0
32.514,0,0
32.561,0,0
32.606,0,0
32.644,0,0
32.704,0,0
32.75,0,0
32.796,0,0
32.841,0,0
32.891,0,0
32.934,0,0
32.983,0,0
33.044,0,0
33.088,0,0
33.133,0,0
33.185,0,0
33.243,0,0
33.289,0,0
33.357,0,0
33.414,0,0
33.451,0,0
33.507,0,0
33.56,0,0
33.626,0,0
33.685,0,0
33.719,0,0
33.761,0,0
33.841,0,0
33.883,0,0
33.919,0,0
33.955,0,0
33.998,0,0
34.034,0,0
34.089,0,0
34.145,0,0
34.187,0,0
34.243,0,0
34.293,0,0
34.336,0,0
34.369,0,0
34.409,0,0
34.477,0,0
34.527,0,0
34.58,0,0
34.691,0,0
34.73,0,0
34.781,0,0
34.845,0,0
34.882,0,0
34.942,0,0
34.984,0,0
35.034,0,0
35.077,0,0
35.135,0,0
35.185,0,0
35.231,0,0
35.277,0,0
35.341,0,1
35.391,0,0
35.443,0,0
35.494,0,0
35.547,0,0
35.58,0,0
35.627,0,0
35.67,0,0
35.71,0,0
35.76,0,0
35.795,0,0
35.84,0,0
35.885,0,0
35.926,0,0
35.967,0,0
36.017,0,0
36.072,0,1
36.16,0,0
36.219,0,0
36.272,0,0
36.326,0,0
36.382,0,0
