timestamp,head_direction,blink_flag,predicted_label
85.116,1,0,0
85.165,1,0,0
85.376,1,0,0
85.415,1,0,0
85.485,1,0,0
85.517,1,0,0
85.546,1,0,0
85.778,1,0,0
85.819,1,0,0
85.854,1,0,0
85.898,1,0,0
85.93,1,0,0
86.151,1,0,0
86.193,1,1,0
86.239,1,0,0
86.285,1,0,0
86.327,1,0,0
86.541,1,0,0
87.959,1,0,0
88.007,1,0,0
88.039,1,0,0
88.074,1,0,0
88.363,1,0,0
88.409,1,0,0
88.457,1,0,0
88.503,1,0,0
88.547,1,0,0
88.765,1,0,0
88.801,1,0,0
88.847,1,0,0
88.891,1,0,0
88.943,1,0,0
89.177,1,0,0
89.215,0,0,0
89.262,1,0,0
89.307,1,0,0
89.357,0,0,0
89.603,0,0,0
89.657,0,0,0
89.7,0,0,0
89.751,0,0,0
89.796,0,0,0
90.071,0,0,0
90.124,0,0,0
90.174,0,0,0
90.215,0,0,0
90.265,0,0,0
90.559,0,0,0
90.615,0,0,0
90.679,0,0,0
90.73,0,0,0
90.775,0,0,0
91.201,0,0,0
91.265,0,0,0
91.335,0,0,0
91.4,0,0,0
91.447,0,1,0
91.784,0,0,0
93.284,0,0,0
93.316,0,0,0
93.351,0,0,0
93.383,0,0,0
93.708,0,0,0
93.775,0,0,0
93.825,0,1,0
93.869,0,0,0
93.911,0,0,0
94.19,0,0,0
94.234,-1,0,0
94.29,-1,0,0
94.344,-1,0,0
94.386,-1,0,0
94.687,-1,0,0
94.706,99,0,0
94.737,99,0,0
94.768,99,0,0
94.8,99,0,0
95.113,99,0,0
95.14,99,0,0
95.17,99,0,0
95.228,99,0,0
95.261,99,0,0
95.558,99,0,0
95.626,-1,0,0
95.683,-1,0,0
95.737,-1,0,0
95.77,-1,0,0
96.109,-1,0,0
96.164,-1,0,0
96.251,-1,0,0
96.309,-1,0,0
96.346,-1,0,0
96.701,-1,0,0
96.763,-1,0,0
96.809,-1,0,0
98.171,-1,0,0
98.234,-1,0,0
98.449,-1,0,0
98.481,-1,0,0
98.525,-1,0,0
98.571,-1,0,0
98.615,-1,0,0
98.871,-1,0,0
98.924,-1,0,0
98.974,-1,0,0
99.024,-1,0,0
99.07,-1,0,0
99.354,-1,0,0
99.409,-1,0,0
99.467,-1,0,0
99.523,-1,0,0
99.562,-1,0,0
99.909,-1,0,0
99.962,-1,0,0
100.0,-1,0,0
100.04,-1,0,0
100.111,-1,0,0
100.416,-1,0,0
100.464,-1,0,0
100.523,-1,0,0
100.573,-1,0,0
100.611,-1,0,0
100.842,-1,0,0
100.888,-1,0,0
100.922,-1,0,0
100.966,-1,0,0
101.009,-1,0,0
101.295,-1,0,0
101.363,-1,0,0
101.426,-1,0,0
101.482,-1,0,0
101.514,-1,0,0
101.764,-1,0,0
101.816,-1,0,0
103.371,0,1,0
103.402,0,0,0
103.428,0,0,0
103.67,0,0,0
103.702,0,0,0
103.743,0,0,0
103.782,0,0,0
103.851,0,0,0
104.061,0,0,0
104.107,0,0,0
104.146,0,0,0
104.19,0,0,0
104.223,0,0,0
104.443,0,0,0
104.473,0,0,0
104.52,0,0,0
104.564,0,0,0
104.603,0,0,0
104.83,0,0,0
104.845,99,0,0
104.867,99,0,0
104.901,99,0,0
104.924,99,0,0
105.163,99,0,0
105.182,99,0,0
105.235,99,0,0
105.254,99,0,0
105.313,0,0,0
105.519,99,0,0
105.569,0,0,0
105.589,99,0,0
105.671,0,0,0
105.697,99,0,0
105.919,0,0,0
105.966,0,0,0
105.985,99,0,0
106.031,0,0,0
106.074,0,0,0
106.286,99,0,0
106.33,0,0,0
106.376,0,0,0
106.394,99,0,0
106.438,0,0,0
106.673,0,0,0
106.693,99,0,0
106.75,0,0,0
106.8,0,0,0
106.83,0,0,0
108.306,0,0,0
108.321,99,0,0
108.377,99,0,0
108.401,99,0,0
108.445,99,0,0
108.63,99,0,0
108.646,99,0,0
108.662,99,0,0
108.676,99,0,0
108.711,99,0,0
108.914,99,0,0
108.925,99,0,0
108.945,99,0,0
108.96,99,0,0
108.975,99,0,0
109.186,99,0,0
109.198,99,0,0
109.22,99,0,0
109.237,99,0,0
109.252,99,0,0
109.476,99,0,0
109.492,99,0,0
109.52,99,0,0
109.582,99,0,0
109.597,99,0,0
109.836,99,0,0
109.851,99,0,0
109.862,99,0,0
109.918,99,0,0
109.984,99,0,0
110.185,99,0,0
110.202,99,0,0
110.254,99,0,0
110.268,99,0,0
110.319,99,0,0
110.567,99,0,0
110.582,99,0,0
110.598,99,0,0
110.656,99,0,0
110.673,99,0,0
110.909,99,0,0
110.933,99,0,0
110.991,99,0,0
111.006,99,0,0
111.052,99,0,0
111.254,99,0,0
111.269,99,0,0
111.285,99,0,0
111.305,99,0,0
111.324,99,0,0
111.534,99,0,0
111.551,99,0,0
111.565,99,0,0
111.585,99,0,0
111.6,99,0,0
111.84,99,0,0
113.203,99,0,0
113.213,99,0,0
113.224,99,0,0
113.286,0,0,0
113.498,0,0,0
113.53,0,1,0
113.568,0,0,0
113.602,0,0,0
113.638,0,0,0
113.834,0,0,0
113.893,0,0,0
113.932,0,0,0
114.022,0,0,0
114.053,0,0,0
114.271,0,0,0
114.288,99,0,0
114.303,99,0,0
114.319,99,0,0
114.336,99,0,0
114.586,99,0,0
114.603,99,0,0
114.657,99,0,0
114.679,99,0,0
114.721,99,0,0
114.932,99,0,0
114.949,99,0,0
114.97,99,0,0
114.993,99,0,0
115.01,99,0,0
115.226,99,0,0
115.242,99,0,0
115.267,99,0,0
115.329,99,0,0
115.342,99,0,0
115.575,99,0,0
115.592,99,0,0
115.607,99,0,0
115.626,99,0,0
115.64,99,0,0
115.857,99,0,0
115.893,0,0,0
115.964,0,0,0
116.012,0,0,0
116.053,0,0,0
116.3,0,0,0
116.346,0,0,0
116.39,0,0,0
116.421,0,0,0
116.476,0,0,0
116.74,0,0,0
116.781,0,0,0
116.82,0,0,0
116.863,0,0,0
118.178,1,0,0
118.392,0,0,0
118.426,0,0,0
118.466,0,0,0
118.49,99,0,0
118.506,99,0,0
118.738,0,0,0
118.751,99,0,0
118.799,99,0,0
118.817,99,0,0
118.871,99,0,0
119.065,99,0,0
119.09,99,0,0
119.114,99,0,0
119.135,99,0,0
119.155,99,0,0
119.37,99,0,0
119.395,99,0,0
119.416,99,0,0
119.472,99,0,0
119.495,99,0,0
119.726,99,0,0
119.751,99,0,0
119.801,99,0,0
119.825,99,0,0
119.872,99,0,0
120.071,99,0,0
120.089,99,0,0
120.107,99,0,0
120.182,99,0,0
120.198,99,0,0
120.403,99,0,0
120.422,99,0,0
120.437,99,0,0
120.486,99,0,0
120.505,99,0,0
120.733,99,0,0
120.747,99,0,0
120.816,99,0,0
120.832,99,0,0
120.873,99,0,0
121.081,99,0,0
121.097,99,0,0
121.113,99,0,0
121.131,99,0,0
121.152,99,0,0
121.357,99,0,0
121.372,99,0,0
121.392,99,0,0
121.409,99,0,0
121.432,99,0,0
121.642,99,0,0
121.663,99,0,0
121.681,99,0,0
121.743,99,0,0
121.756,99,0,0
121.993,99,0,0
123.328,99,0,0
123.343,99,0,0
123.355,99,0,0
123.423,99,0,0
123.637,99,0,0
123.648,99,0,0
123.66,99,0,0
123.678,99,0,0
123.691,99,0,0
123.905,99,0,0
123.92,99,0,0
123.931,99,0,0
123.947,99,0,0
123.963,99,0,0
124.206,99,0,0
124.219,99,0,0
124.242,99,0,0
124.29,99,0,0
124.353,99,0,0
124.572,99,0,0
124.597,99,0,0
124.629,99,0,0
124.653,99,0,0
124.694,99,0,0
125.002,99,0,0
125.02,99,0,0
125.041,99,0,0
125.061,99,0,0
125.081,99,0,0
125.289,99,0,0
125.304,99,0,0
125.36,99,0,0
125.376,99,0,0
125.422,99,0,0
125.662,99,0,0
125.678,99,0,0
125.694,99,0,0
125.717,99,0,0
125.732,99,0,0
125.973,99,0,0
125.99,99,0,0
126.014,99,0,0
126.032,99,0,0
126.049,99,0,0
126.311,99,0,0
126.328,99,0,0
126.354,99,0,0
126.431,99,0,0
126.451,99,0,0
126.694,99,0,0
126.724,99,0,0
126.748,99,0,0
126.776,99,0,0
126.803,99,0,0
127.065,99,0,0
128.475,99,0,0
128.496,99,0,0
128.505,99,0,0
128.56,99,0,0
128.768,99,0,0
128.782,99,0,0
128.797,99,0,0
128.809,99,0,0
128.826,99,0,0
129.004,99,0,0
129.02,99,0,0
129.031,99,0,0
129.055,99,0,0
129.101,99,0,0
129.308,99,0,0
129.326,99,0,0
129.344,99,0,0
129.36,99,0,0
129.381,99,0,0
129.599,99,0,0
129.618,99,0,0
129.633,99,0,0
129.69,99,0,0
129.708,99,0,0
129.952,99,0,0
129.968,99,0,0
130.032,99,0,0
130.049,99,0,0
130.098,99,0,0
130.354,99,0,0
130.375,99,0,0
130.393,99,0,0
130.432,99,0,0
130.453,99,0,0
130.743,99,0,0
130.767,99,0,0
130.789,99,0,0
130.811,99,0,0
130.832,99,0,0
131.114,99,0,0
131.135,99,0,0
131.152,99,0,0
131.175,99,0,0
131.193,99,0,0
131.464,99,0,0
131.484,99,0,0
131.508,99,0,0
131.528,99,0,0
131.573,99,0,0
131.853,99,0,0
131.873,99,0,0
131.895,99,0,0
131.926,99,0,0
131.959,99,0,0
132.213,99,0,0
133.599,99,0,0
133.641,99,0,0
133.664,99,0,0
133.714,99,0,0
133.932,99,0,0
133.954,99,0,0
133.977,99,0,0
134.003,99,0,0
134.024,99,0,0
134.295,99,0,0
134.32,99,0,0
134.391,99,0,0
134.41,99,0,0
134.454,99,0,0
134.723,99,0,0
134.741,99,0,0
134.759,99,0,0
134.784,99,0,0
134.802,99,0,0
135.061,99,0,0
135.09,99,0,0
135.111,99,0,0
135.127,99,0,0
135.184,99,0,0
135.416,99,0,0
135.443,99,0,0
135.466,99,0,0
135.497,99,0,0
135.532,99,0,0
135.81,99,0,0
135.835,99,0,0
135.864,99,0,0
135.89,99,0,0
135.916,99,0,0
136.166,99,0,0
136.194,99,0,0
136.215,99,0,0
136.235,99,0,0
136.263,99,0,0
136.512,99,0,0
136.538,99,0,0
136.585,99,0,0
136.608,99,0,0
136.631,99,0,0
136.997,99,0,0
137.026,99,0,0
137.059,99,0,0
137.093,99,0,0
137.124,99,0,0
137.451,99,0,0
138.883,99,0,0
138.901,99,0,0
138.924,99,0,0
138.952,99,0,0
139.216,99,0,0
139.24,99,0,0
139.27,99,0,0
139.292,99,0,0
139.334,99,0,0
139.608,99,0,0
139.622,99,0,0
139.655,99,0,0
139.694,99,0,0
139.723,99,0,0
139.991,99,0,0
140.026,99,0,0
140.087,0,0,0
140.128,0,0,0
140.184,0,0,0
140.447,0,0,0
140.514,0,0,0
140.565,0,0,0
140.625,0,0,0
140.661,0,0,0
140.921,0,0,0
140.965,0,0,0
141.015,0,0,0
141.056,0,0,0
141.107,0,0,0
141.339,0,0,0
141.381,0,0,0
141.424,0,0,0
141.466,0,0,0
141.51,0,0,0
141.74,0,0,0
141.776,0,0,0
141.826,0,0,0
141.856,0,0,0
141.897,0,0,0
142.142,0,0,0
142.225,0,0,0
142.261,0,0,0
142.307,0,0,0
142.345,0,0,0
142.616,0,0,0
144.0,0,0,0
144.023,0,0,0
144.075,0,0,0
144.114,0,0,0
144.379,0,0,0
144.409,0,0,0
144.443,0,0,0
144.485,0,0,0
144.526,0,0,0
144.745,0,0,0
144.776,0,0,0
144.832,0,0,0
144.892,0,0,0
144.936,0,0,0
145.161,0,0,0
145.207,0,0,0
145.243,0,0,0
145.287,0,0,0
145.33,0,0,0
145.566,0,0,0
145.612,0,0,0
145.654,0,0,0
145.698,0,0,0
145.743,0,0,0
145.963,0,0,0
146.01,0,0,0
146.067,0,0,0
146.112,0,0,0
146.151,0,0,0
146.372,0,0,0
146.409,0,0,0
146.453,0,0,0
146.536,0,0,0
146.571,0,0,0
146.811,0,0,0
146.853,0,0,0
146.904,0,0,0
146.949,0,0,0
146.981,0,0,0
147.207,0,0,0
147.253,0,0,0
147.295,0,0,0
147.327,0,0,0
147.367,0,0,0
147.595,0,0,0
147.643,0,0,0
149.013,0,0,0
149.045,0,0,0
149.08,0,0,0
149.321,0,0,0
149.499,0,0,0
149.612,0,0,0
149.644,0,0,0
149.676,0,0,0
149.902,0,0,0
149.947,0,0,0
149.989,0,0,0
150.039,0,0,0
150.086,0,0,0
150.32,0,0,0
150.594,0,0,0
150.645,0,0,0
150.669,0,0,0
150.699,0,0,0
150.931,0,0,0
150.972,0,0,0
151.012,0,0,0
151.053,0,0,0
151.096,0,0,0
151.327,0,0,0
151.375,0,0,0
151.477,0,0,0
151.532,0,0,0
151.566,0,0,0
151.831,0,0,0
151.899,0,0,0
151.941,0,0,0
151.98,0,0,0
152.02,0,0,0
152.234,0,0,0
152.273,0,0,0
152.315,0,0,0
152.36,0,0,0
152.405,0,0,0
152.628,0,0,0
152.667,0,0,0
154.016,99,0,0
154.031,99,0,0
154.051,99,0,0
154.305,99,0,0
154.32,99,0,0
154.362,0,0,0
154.407,0,0,0
154.451,0,0,0
154.685,0,0,0
154.726,0,0,0
154.77,0,0,0
154.812,0,0,0
154.859,0,0,0
155.086,0,0,0
155.128,0,1,0
155.173,0,0,0
155.223,0,0,0
155.269,0,0,0
155.483,0,0,0
155.522,0,0,0
155.569,-1,1,0
155.614,-1,0,0
155.656,-1,0,0
155.879,-1,0,0
155.928,-1,0,0
155.971,-1,0,0
156.003,-1,1,0
156.061,-1,0,0
156.281,-1,0,0
156.301,99,0,0
156.32,99,0,0
156.373,99,0,0
156.393,99,0,0
156.622,99,0,0
156.632,99,0,0
156.653,99,0,0
156.677,99,0,0
156.704,99,0,0
156.94,0,0,0
156.96,99,0,0
156.986,99,0,0
157.011,99,0,0
157.046,99,0,0
157.256,99,0,0
157.274,99,0,0
157.303,99,0,0
157.319,99,0,0
157.344,99,0,0
157.556,99,0,0
157.577,99,0,0
157.602,99,0,0
157.703,99,0,0
158.987,99,0,0
159.183,99,0,0
159.2,99,0,0
159.215,99,0,0
159.23,99,0,0
159.253,99,0,0
159.434,99,0,0
159.454,99,0,0
159.503,0,0,0
159.54,0,0,0
159.569,0,1,0
159.77,0,0,0
159.816,0,0,0
159.863,0,0,0
159.905,0,0,0
159.945,0,0,0
160.161,0,0,0
160.208,0,1,0
160.241,0,0,0
160.284,0,0,0
160.32,0,0,0
160.548,0,0,0
160.595,0,0,0
160.644,0,0,0
160.685,0,0,0
160.731,0,0,0
160.953,0,0,0
161.003,0,0,0
161.048,0,0,0
161.094,0,0,0
161.152,0,0,0
161.361,0,0,0
161.41,0,0,0
161.456,0,0,0
161.499,0,0,0
161.545,0,0,0
161.778,0,0,0
161.822,0,0,0
161.864,0,0,0
161.907,0,0,0
161.949,0,0,0
162.166,0,0,0
162.209,0,0,0
162.254,0,0,0
162.3,0,0,0
162.358,0,0,0
162.578,0,0,0
162.623,0,1,0
162.683,0,0,0
162.727,0,0,0
